Unnamed: 0,Dados,Frase do usuário,Intenção,sentenceWithoutStopWord
7,2021-03-24 14:25:02 +00:00,"👍sim, confirmo",None,confirmo
11,2021-03-19 18:30:50 +00:00,dsvvsdvvsd,None,dsvvsdvvsd
12,2021-03-23 11:32:53 +00:00,nao foi entregue ,None,entregue
14,2021-03-19 13:06:52 +00:00,prezados senhores ,None,prezados senhores
40,2021-04-04 15:26:35 +00:00,gostaria de saber onde fica a assistencia tecnica da gama aqui na minha cidade,None,gostaria onde fica assistencia tecnica gama cidade
41,2021-04-17 02:42:17 +00:00,gostaria de saber a diferenca entre dois secadores de cabelo.,None,gostaria diferenca secadores cabelo
54,2021-03-20 17:46:38 +00:00,pois a data prevista era dia 19/03,None,data prevista
67,2021-03-30 23:54:40 +00:00,temperatura da chapinha ,None,temperatura chapinha
68,2021-03-28 02:20:55 +00:00,n sou cliente ,None,n cliente
69,2021-03-19 17:38:33 +00:00,ndainidaniadniad ,None,ndainidaniadniad
78,2021-04-04 16:28:11 +00:00,assistencia tecnica ,None,assistencia tecnica
80,2021-03-28 02:19:56 +00:00,meu cpf e chapinha gama bivolt,None,cpf chapinha gama bivolt
81,2021-04-09 17:26:33 +00:00,pecas para a maquina gama gc550,None,pecas maquina gama
86,2021-03-29 12:45:46 +00:00,gostaria de saber qual prancha danifica menos o cabelo a pro keration ou a marula?,None,gostaria qual prancha danifica cabelo pro keration marula
87,2021-03-19 18:33:45 +00:00,ihhihihi ,None,ihhihihi
91,2021-04-08 15:19:28 +00:00,boa tatde ,None,tatde
101,2021-03-23 18:26:27 +00:00,qual posto autorizado mais proximo de minha cidade?,None,qual posto autorizado proximo cidade
102,2021-04-14 00:12:34 +00:00,"boa noite, ",None,noite
104,2021-03-19 18:34:09 +00:00,gyfiugui ,None,gyfiugui
111,2021-04-12 21:16:07 +00:00,boa noite,None,noite
112,2021-04-16 16:55:04 +00:00,depilador eletrico oasis suprem,None,depilador eletrico oasis suprem
113,2021-04-14 13:09:53 +00:00,compas atacado,None,compas atacado
118,2021-03-19 13:21:42 +00:00,dvvdsvcdsv,None,dvvdsvcdsv
146,2021-03-25 08:13:06 +00:00,brinde ,None,brinde
148,2021-04-16 03:56:52 +00:00,vcs tem a lamina para maquina gbs zero ?,None,vcs lamina maquina gbs
152,2021-03-26 20:43:39 +00:00,prancha ceramic infrared profissional ,None,prancha ceramic infrared profissional
155,2021-04-03 05:56:39 +00:00,cupom desconto ,None,cupom desconto
158,2021-03-19 13:25:57 +00:00,jnnnnnnnnnn,None,jnnnnnnnnnn
167,2021-04-17 16:09:18 +00:00,qual a diferenca entre o secador 4d bivolt rose e o preto marcos proenca?,None,qual diferenca secador bivolt rose preto marcos proenca
179,2021-03-30 22:51:13 +00:00,o secador aolic retratil cabe difusor somente da gama ,None,secador aolic retratil cabe difusor gama
187,2021-04-16 14:15:28 +00:00,pecas reposicao,None,pecas reposicao
193,2021-04-13 17:46:53 +00:00,vendem pecas separadas,None,vendem pecas separadas
194,2021-04-13 13:52:02 +00:00,meu secador estragou ,None,secador estragou
197,2021-04-16 18:06:13 +00:00,nota fiscal,None,nota fiscal
204,2021-04-05 18:06:51 +00:00,quero informar pagamento,None,informar pagamento
205,2021-03-30 16:04:35 +00:00,garantia,None,garantia
207,2021-04-01 17:48:58 +00:00,cupom de desconto,None,cupom desconto
214,2021-04-14 12:06:20 +00:00,garanria,None,garanria
217,2021-04-12 22:59:43 +00:00,ola souo big joe,None,souo big joe
218,2021-04-07 14:13:00 +00:00,bom diameu secador queimouesta na garantianao consigo assistencia tecnicacomo faco,None,diameu secador queimouesta garantianao consigo assistencia tecnicacomo faco
219,2021-04-17 17:14:33 +00:00,frete para entrega,None,frete entrega
221,2021-04-16 18:41:49 +00:00,assistencia em belem ,None,assistencia belem
233,2021-03-20 19:14:19 +00:00,certo,None,certo
234,2021-04-06 19:25:27 +00:00,informacao sobre garantia,None,informacao garantia
238,2021-03-29 23:06:01 +00:00,boa noite! qual a diferenca entre a xwide e a xwide salon ultra?,None,noite qual diferenca xwide xwide salon ultra
252,2021-03-23 18:23:05 +00:00,"abri a escova e vi as engrenagens pequeninas derretidas gostaria de saber se tem algum lugar que possa arrumar pra mim, pois eu gostei muito ",None,abri escova vi engrenagens pequeninas derretidas gostaria algum possa arrumar pra gostei
268,2021-04-14 20:13:55 +00:00,assistencia tecnica,None,assistencia tecnica
279,2021-04-16 23:36:11 +00:00,boa noite ,None,noite
280,2021-04-16 03:57:46 +00:00,voces tem as laminas das maquinas para reposicao ?,None,laminas maquinas reposicao
282,2021-04-12 17:55:19 +00:00,assistencia tecnica manaus ,None,assistencia tecnica manaus
285,2021-04-04 23:06:51 +00:00,maquina de cortar cabelo pro 8,None,maquina cortar cabelo pro
297,2021-03-19 20:52:31 +00:00,drrgdgdrg,None,drrgdgdrg
301,2021-03-17 17:43:48 +00:00,revenda,None,revenda
307,2021-03-27 17:20:07 +00:00,quero saber valor de produtos em atacado,None,produtos atacado
309,2021-04-15 14:02:29 +00:00,maquina de corte gc625 esta disponivel ,None,maquina corte disponivel
314,2021-03-26 03:29:50 +00:00,parceria ,None,parceria
324,2021-04-10 22:53:15 +00:00,oleo essencial no umidificador?,None,oleo essencial umidificador
